County Name,Census Tract,Count,Population,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,IBL Ranking
King,53033002700,20,28464,105.48,63.7,165.96,1
King,53033002800,16,23908,144.04 (NR),77.51 (NR),250.48 (NR),3
King,53033002900,23,22613,154.31,94.5,241.38,3
King,53033003000,24,30750,113.44,70.11,177.16,1
King,53033003100,42,32622,149.66,107.51,206.92,3
King,53033003200,56,46035,119.37,89.76,159.5,1
King,53033003300,27,37354,146.01,94.03,217.94,3
King,53033003400,13,17804,146.44 (NR),74.43 (NR),262.07 (NR),3
King,53033003500,32,20986,102.51,66.41,160.75,1
King,53033003600,61,38971,139.64,104.17,193.44,2
King,53033003800,11,11936,95.35 (NR),45.5 (NR),182.31 (NR),1
King,53033003900,20,14631,77.79,47.27,138.4,1
King,53033004000,20,15465,111.42,67.88,179.19,1
King,53033004100,42,40624,90.41,65,124.36,1
King,53033004200,34,40197,102.05,70.35,143.72,1
King,53033004301,25,19263,136.15,84.55,211.35,2
King,53033004302,33,20608,204.07,132.92,458.36,7
King,53033004400,18,37047,113.18,64.28,188.43,1
King,53033004500,**,14306,**,**,**,4
King,53033004600,11,17299,95.78 (NR),44.38 (NR),191.96 (NR),1
King,53033004700,57,55292,119.15,89.51,169.85,1
King,53033004800,19,25445,139.16,79.83,230.08,2
King,53033004900,60,34751,272.47,205.33,367.69,9
King,53033005000,39,21975,164.32,106.01,250.56,4
King,53033005100,19,19532,128.18,72.6,220.28,2
King,53033005200,28,38261,186.75,121.3,284.94,6
King,53033005301,14,50578,126.64 (NR),67.01 (NR),344.37 (NR),2
King,53033005302,**,39412,**,**,**,1
King,53033005400,20,35869,175.7,99.39,290.04,5
King,53033005600,54,34172,125.05,93.47,169.49,2
King,53033005700,47,32245,129.43,94.87,178.67,2
King,53033005801,33,26996,138.01,94.66,200.32,2
King,53033005802,29,32274,103.41,69.03,158.27,1
King,53033005900,25,36318,127.49,80.26,193.65,2
King,53033006000,54,29732,164.37,121.19,224.63,4
King,53033006100,21,27846,104.37,61.83,184.28,1
King,53033006200,13,20693,70.35 (NR),36.06 (NR),127.54 (NR),1
King,53033006300,60,26774,92.29,69.74,130.26,1
King,53033006400,10,17084,84.67 (NR),39.82 (NR),160.32 (NR),1
King,53033006500,19,23732,190.89,112.27,305.36,6
King,53033006600,**,23426,**,**,**,2
King,53033006700,61,48793,134.39,100.42,191.45,2
King,53033006800,28,17302,193.85,127.18,287.74,6
King,53033006900,28,22541,173.96,112.47,260.35,5
King,53033007000,87,39731,135.18,105.75,193.81,2
King,53033007100,15,29929,88.78 (NR),44.39 (NR),274.04 (NR),1
King,53033007200,28,59947,98.47,62.63,193.2,1
King,53033007300,119,58026,308.69,254.08,404.69,10
King,53033007401,12,28074,103.82 (NR),48.53 (NR),378.99 (NR),1
King,53033007402,26,29074,387.33,221.06,658.57,10
